onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00839	n/a	n/a	n/a	n/a	80500	5	0	1	1	8	n/a
12.0072	3.5	controlItem	n/a	n/a	10532	5	32	2	1	1	n/a
15.4903	3.0	controlItem	n/a	n/a	60532	5	32	3	1	0	n/a
18.4898	3.0	controlItem	True	0.527	60532	5	32	4	1	6	controlTrue
22.0062	3.5	controlItem	n/a	n/a	10542	5	42	5	1	1	n/a
25.4894	3.0	controlItem	n/a	n/a	20542	5	42	6	1	0	n/a
28.4888	3.0	controlItem	Foil2	0.587	20542	5	42	7	1	2	controlFoil2
32.0045	3.5	controlItem	n/a	n/a	10518	5	18	8	1	1	n/a
35.4892	3.0	controlItem	n/a	n/a	70518	5	18	9	1	0	n/a
38.4877	3.0	controlItem	True	0.465	70518	5	18	10	1	7	controlTrue
42.0041	3.5	criticalItem	n/a	n/a	10516	5	16	11	1	1	n/a
45.4868	3.0	criticalItem	n/a	n/a	40516	5	16	12	1	0	n/a
48.4878	3.0	criticalItem	False	0.529	40516	5	16	13	1	4	criticalFalse
52.0035	3.5	controlItem	n/a	n/a	10527	5	27	14	1	1	n/a
55.4865	3.0	controlItem	n/a	n/a	30527	5	27	15	1	0	n/a
58.4859	3.0	controlItem	True	0.458	30527	5	27	16	1	3	controlTrue
62.0019	3.5	criticalItem	n/a	n/a	10526	5	26	17	1	1	n/a
65.4861	3.0	criticalItem	n/a	n/a	70526	5	26	18	1	0	n/a
68.4849	3.0	criticalItem	True	0.407	70526	5	26	19	1	7	criticalTrue
72.0011	3.5	controlItem	n/a	n/a	10549	5	49	20	1	1	n/a
75.4843	3.0	controlItem	n/a	n/a	20549	5	49	21	1	0	n/a
78.484	3.0	controlItem	Foil2	0.873	20549	5	49	22	1	2	controlFoil2
81.9997	3.5	controlItem	n/a	n/a	10524	5	24	23	1	1	n/a
85.4833	3.0	controlItem	n/a	n/a	70524	5	24	24	1	0	n/a
88.4828	3.0	controlItem	True	1.33	70524	5	24	25	1	7	controlTrue
92.0157	3.5	criticalItem	n/a	n/a	10523	5	23	26	1	1	n/a
95.4989	3.0	criticalItem	n/a	n/a	30523	5	23	27	1	0	n/a
