onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00794	n/a	n/a	n/a	n/a	81000	10	0	297	3	8	n/a
12.0066	3.5	criticalItem	n/a	n/a	11020	10	20	298	3	1	n/a
15.4905	3.0	criticalItem	n/a	n/a	61020	10	20	299	3	0	n/a
18.4893	3.0	criticalItem	True	0.499	61020	10	20	300	3	6	criticalTrue
22.0056	3.5	criticalItem	n/a	n/a	11003	10	3	301	3	1	n/a
25.4892	3.0	criticalItem	n/a	n/a	61003	10	3	302	3	0	n/a
28.488	3.0	criticalItem	True	0.604	61003	10	3	303	3	6	criticalTrue
32.0059	3.5	criticalItem	n/a	n/a	11008	10	8	304	3	1	n/a
35.4875	3.0	criticalItem	n/a	n/a	41008	10	8	305	3	0	n/a
38.4871	3.0	criticalItem	False	0.806	41008	10	8	306	3	4	criticalFalse
42.0044	3.5	controlItem	n/a	n/a	11028	10	28	307	3	1	n/a
45.4866	3.0	controlItem	n/a	n/a	61028	10	28	308	3	0	n/a
48.4872	3.0	controlItem	True	0.732	61028	10	28	309	3	6	controlTrue
52.0022	3.5	controlItem	n/a	n/a	11038	10	38	310	3	1	n/a
55.4861	3.0	controlItem	n/a	n/a	61038	10	38	311	3	0	n/a
58.4851	3.0	controlItem	True	0.943	61038	10	38	312	3	6	controlTrue
62.0021	3.5	criticalItem	n/a	n/a	11015	10	15	313	3	1	n/a
65.4844	3.0	criticalItem	n/a	n/a	41015	10	15	314	3	0	n/a
68.4845	3.0	criticalItem	False	0.733	41015	10	15	315	3	4	criticalFalse
72.0013	3.5	criticalItem	n/a	n/a	11033	10	33	316	3	1	n/a
75.4834	3.0	criticalItem	n/a	n/a	41033	10	33	317	3	0	n/a
78.4831	3.0	criticalItem	False	0.526	41033	10	33	318	3	4	criticalFalse
82.0009	3.5	criticalItem	n/a	n/a	11023	10	23	319	3	1	n/a
85.4823	3.0	criticalItem	n/a	n/a	21023	10	23	320	3	0	n/a
88.4826	3.0	criticalItem	True	0.508	21023	10	23	321	3	2	criticalTrue
91.9991	3.5	controlItem	n/a	n/a	11040	10	40	322	3	1	n/a
95.483	3.0	controlItem	n/a	n/a	21040	10	40	323	3	0	n/a
98.4813	3.0	controlItem	Foil1	1.581	21040	10	40	324	3	2	controlFoil1
102.014	3.5	controlItem	n/a	n/a	11019	10	19	325	3	1	n/a
105.498	3.0	controlItem	n/a	n/a	51019	10	19	326	3	0	n/a
108.497	3.0	controlItem	Foil2	1.018	51019	10	19	327	3	5	controlFoil2
112.015	3.5	controlItem	n/a	n/a	11031	10	31	328	3	1	n/a
115.497	3.0	controlItem	n/a	n/a	61031	10	31	329	3	0	n/a
118.496	3.0	controlItem	Foil2	0.589	61031	10	31	330	3	6	controlFoil2
122.013	3.5	controlItem	n/a	n/a	11021	10	21	331	3	1	n/a
125.496	3.0	controlItem	n/a	n/a	71021	10	21	332	3	0	n/a
128.496	3.0	controlItem	True	0.463	71021	10	21	333	3	7	controlTrue
132.012	3.5	criticalItem	n/a	n/a	11018	10	18	334	3	1	n/a
135.496	3.0	criticalItem	n/a	n/a	21018	10	18	335	3	0	n/a
138.495	3.0	criticalItem	False	0.471	21018	10	18	336	3	2	criticalFalse
142.01	3.5	controlItem	n/a	n/a	11046	10	46	337	3	1	n/a
145.494	3.0	controlItem	n/a	n/a	41046	10	46	338	3	0	n/a
148.493	3.0	controlItem	Foil2	1.02	41046	10	46	339	3	4	controlFoil2
