onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00914	n/a	n/a	n/a	n/a	80300	3	0	1	1	8	n/a
12.0084	3.5	criticalItem	n/a	n/a	10341	3	41	2	1	1	n/a
15.4915	3.0	criticalItem	n/a	n/a	70341	3	41	3	1	0	n/a
18.4906	3.0	criticalItem	Foil	0.832	70341	3	41	4	1	7	criticalFoil
22.0067	3.5	criticalItem	n/a	n/a	10322	3	22	5	1	1	n/a
25.4912	3.0	criticalItem	n/a	n/a	70322	3	22	6	1	0	n/a
28.4908	3.0	criticalItem	True	0.514	70322	3	22	7	1	7	criticalTrue
32.0063	3.5	controlItem	n/a	n/a	10303	3	3	8	1	1	n/a
35.4902	3.0	controlItem	n/a	n/a	20303	3	3	9	1	0	n/a
38.4885	3.0	controlItem	Foil2	0.643	20303	3	3	10	1	2	controlFoil2
42.0062	3.5	controlItem	n/a	n/a	10320	3	20	11	1	1	n/a
45.4881	3.0	controlItem	n/a	n/a	50320	3	20	12	1	0	n/a
48.488	3.0	controlItem	True	0.802	50320	3	20	13	1	5	controlTrue
52.0038	3.5	criticalItem	n/a	n/a	10324	3	24	14	1	1	n/a
55.4871	3.0	criticalItem	n/a	n/a	20324	3	24	15	1	0	n/a
58.487	3.0	criticalItem	False	1.102	20324	3	24	16	1	2	criticalFalse
62.0042	3.5	controlItem	n/a	n/a	10350	3	50	17	1	1	n/a
65.4863	3.0	controlItem	n/a	n/a	30350	3	50	18	1	0	n/a
68.4852	3.0	controlItem	Foil1	1.679	30350	3	50	19	1	3	controlFoil1
72.0014	3.5	controlItem	n/a	n/a	10309	3	9	20	1	1	n/a
75.4861	3.0	controlItem	n/a	n/a	60309	3	9	21	1	0	n/a
78.4855	3.0	controlItem	n/a	n/a	60309	3	9	22	1	6	n/a
82.0009	3.5	controlItem	n/a	n/a	10313	3	13	23	1	1	n/a
85.4841	3.0	controlItem	ForbiddenKey	2.254	60313	3	13	24	1	0	n/a
88.4848	3.0	controlItem	Foil1	1.639	60313	3	13	25	1	6	controlFoil1
92.0013	3.5	controlItem	n/a	n/a	10342	3	42	26	1	1	n/a
95.4827	3.0	controlItem	ForbiddenKey	1.612	50342	3	42	27	1	0	n/a
98.483	3.0	controlItem	Foil2	1.191	50342	3	42	28	1	5	controlFoil2
